city,state,year_created,member_selection,independent_investigation,subpoena_power,independent_discipline,recommend_discipline,funding_structure,public_meetings,city_std,state_clean,has_sunset,voluntary_cooperation,mandatory_cooperation,has_budget_language,has_union_exclusion,text_length,filename,authority_level,board_weakness_index,board_weakness_index_broad,authority_score,year_num,decade
Akron city,OH,2023,"Appointed (Mayor, confirmed by Council)",Y,Y,N,Y,City-funded,Y (implied),akron,OH,False,True,True,True,True,3853.0,Akron_city_OH.pdf,investigative,2,0,1,2023.0,2020
Albuquerque city,NM,2014,Appointed (Mayor & Council),Y,Y,N,Y,Dedicated budget,Y,albuquerque,NM,False,False,True,True,True,39972.0,Albuquerque_city_NM.pdf,investigative,1,-1,1,2014.0,2010
Alexandria city,VA,2021,Appointed (Council),Y,N,N,Y,Dedicated budget,Y,alexandria,VA,False,False,True,True,True,27268.0,Alexandria_city_VA.pdf,investigative,1,-1,1,2021.0,2020
Anaheim city,CA,2018,Not specified,N,N,N,Y,City-funded,Y,anaheim,CA,False,False,False,True,False,4011.0,Anaheim_city_CA.pdf,review_only,0,-1,0,2018.0,2010
Ann Arbor city,MI,2018,Appointed,N,Y,N,Y,Not specified,Y,ann arbor,MI,False,False,True,False,False,3566.0,Ann_Arbor_city_MI.pdf,review_only,0,-2,0,2018.0,2010
Arlington,VA,2021,Appointed,N,N,N,Y,Not specified,Not specified,arlington,VA,False,False,False,False,False,943.0,Arlington_VA.pdf,review_only,0,-1,0,2021.0,2020
Athens-Clarke County unified government (balance),GA,2021,Appointed (Mayor),N,N,N,Y,City-funded,Y (implied),athens-clarke county,GA,,,,,,,,review_only,0,-1,0,2021.0,2020
Atlanta city,GA,2007,Elected,Y,Y,N,Y,Not specified,Y,atlanta,GA,False,False,False,False,False,1129.0,Atlanta_city_GA.pdf,investigative,0,-1,1,2007.0,2000
Aurora city,CO,2015,Appointed,N,N,N,Y,Volunteer/Unfunded,Y (implied),aurora,CO,False,False,False,False,False,45834.0,Aurora_city_CO.pdf,review_only,0,-1,0,2015.0,2010
Aurora city,IL,2020,"Appointed (Mayor, confirmed by Council)",N,Y,N,Y,City-funded,Y,aurora,IL,False,False,True,False,True,3694.0,Aurora_city_IL.pdf,review_only,1,-1,0,2020.0,2020
Austin city,TX,2002,Appointed (Council),Y,N,N,Y,City-funded,Not specified,austin,TX,False,False,False,False,False,1540.0,Austin_city_TX.pdf,investigative,0,-1,1,2002.0,2000
Baltimore city,MD,1999,Appointed,Y,Y,N,Y,Not specified,Y,baltimore,MD,False,False,False,False,False,2438.0,Baltimore_city_MD.pdf,investigative,0,-1,1,1999.0,1990
