section	model	outcome	variable	coef	se	pval	n	note
A_cross_section	LPM_ever_adopted	ever_adopted	log_police_protests_pre	0.123301	0.030827	0.0001	283	log(police protests 2017-19)
A_cross_section	LPM_ever_adopted	ever_adopted	log_pop	0.198049	0.040355	0.0	283	log(police protests 2017-19)
A_cross_section	LPM_ever_adopted	ever_adopted	pct_black	0.018395	0.147035	0.9004	283	log(police protests 2017-19)
A_cross_section	LPM_ever_adopted	ever_adopted	pct_hispanic	-0.399689	0.094972	0.0	283	log(police protests 2017-19)
A_cross_section	LPM_ever_adopted	ever_adopted	log_all_protests_pre	0.083426	0.024391	0.0006	283	log(all protests 2017-19)
A_cross_section	LPM_ever_adopted	ever_adopted	log_pop	0.210436	0.041882	0.0	283	log(all protests 2017-19)
A_cross_section	LPM_ever_adopted	ever_adopted	pct_black	0.055415	0.146971	0.7061	283	log(all protests 2017-19)
A_cross_section	LPM_ever_adopted	ever_adopted	pct_hispanic	-0.352253	0.10245	0.0006	283	log(all protests 2017-19)
A_cross_section	LPM_ever_adopted	ever_adopted	log_msa_police_pre	-0.029805	0.020733	0.1506	283	log(MSA police protests 2017-19)
A_cross_section	LPM_ever_adopted	ever_adopted	log_pop	0.302604	0.030086	0.0	283	log(MSA police protests 2017-19)
A_cross_section	LPM_ever_adopted	ever_adopted	pct_black	0.062675	0.155731	0.6873	283	log(MSA police protests 2017-19)
A_cross_section	LPM_ever_adopted	ever_adopted	pct_hispanic	-0.426132	0.094519	0.0	283	log(MSA police protests 2017-19)
A_cross_section	LPM_adopted_post2019	adopted_post2019	log_police_protests_pre	-0.006702	0.023876	0.7789	283	log(police protests 2017-19)
A_cross_section	LPM_adopted_post2019	adopted_post2019	log_pop	0.026667	0.028975	0.3574	283	log(police protests 2017-19)
A_cross_section	LPM_adopted_post2019	adopted_post2019	pct_black	0.081624	0.122963	0.5068	283	log(police protests 2017-19)
A_cross_section	LPM_adopted_post2019	adopted_post2019	pct_hispanic	-0.144417	0.062652	0.0212	283	log(police protests 2017-19)
A_cross_section	LPM_adopted_post2019	adopted_post2019	log_all_protests_pre	-0.003085	0.018393	0.8668	283	log(all protests 2017-19)
A_cross_section	LPM_adopted_post2019	adopted_post2019	log_pop	0.024479	0.027745	0.3776	283	log(all protests 2017-19)
A_cross_section	LPM_adopted_post2019	adopted_post2019	pct_black	0.079432	0.123077	0.5187	283	log(all protests 2017-19)
A_cross_section	LPM_adopted_post2019	adopted_post2019	pct_hispanic	-0.14535	0.068299	0.0333	283	log(all protests 2017-19)
A_cross_section	LPM_adopted_post2019	adopted_post2019	log_msa_police_pre	-0.032401	0.018543	0.0806	283	log(MSA police protests 2017-19)
A_cross_section	LPM_adopted_post2019	adopted_post2019	log_pop	0.026782	0.016144	0.0971	283	log(MSA police protests 2017-19)
A_cross_section	LPM_adopted_post2019	adopted_post2019	pct_black	0.075726	0.120872	0.531	283	log(MSA police protests 2017-19)
A_cross_section	LPM_adopted_post2019	adopted_post2019	pct_hispanic	-0.119259	0.05308	0.0247	283	log(MSA police protests 2017-19)
A_cross_section	Logit_margeff	ever_adopted	log_police_protests_pre	0.126937	0.037026	0.0006	283	marginal effect at mean
A_cross_section	Logit_margeff	ever_adopted	log_pop	0.232574	0.053022	0.0	283	marginal effect at mean
A_cross_section	Logit_margeff	ever_adopted	pct_black	-0.044439	0.177627	0.8024	283	marginal effect at mean
A_cross_section	Logit_margeff	ever_adopted	pct_hispanic	-0.669734	0.190193	0.0004	283	marginal effect at mean
A_hazard	hazard_LPM	adopted_this_year	lag_log_police_protests	0.043063	0.019797	0.0296	689	lag log(city police protests)
A_hazard	hazard_LPM	adopted_this_year	log_population	0.01021	0.01229	0.4061	689	lag log(city police protests)
A_hazard	hazard_LPM	adopted_this_year	pct_black	0.0144	0.027018	0.5941	689	lag log(city police protests)
A_hazard	hazard_LPM	adopted_this_year	pct_hispanic	-0.030275	0.01634	0.0639	689	lag log(city police protests)
A_hazard	hazard_LPM	adopted_this_year	lag_log_msa_police	-0.000333	0.003533	0.925	689	lag log(MSA police protests)
A_hazard	hazard_LPM	adopted_this_year	log_population	0.024938	0.010682	0.0196	689	lag log(MSA police protests)
A_hazard	hazard_LPM	adopted_this_year	pct_black	0.025109	0.028906	0.385	689	lag log(MSA police protests)
A_hazard	hazard_LPM	adopted_this_year	pct_hispanic	-0.033312	0.016172	0.0394	689	lag log(MSA police protests)
A_hazard	hazard_interaction	adopted_this_year	lag_log_police_protests	0.023283	0.02068	0.2602	689	protests × post-2020
A_hazard	hazard_interaction	adopted_this_year	post_2020	-0.017657	0.02102	0.4009	689	protests × post-2020
A_hazard	hazard_interaction	adopted_this_year	lag_police_x_post2020	0.065567	0.04531	0.1479	689	protests × post-2020
A_hazard	hazard_interaction	adopted_this_year	log_population	0.010589	0.012175	0.3845	689	protests × post-2020
A_hazard	hazard_interaction	adopted_this_year	pct_black	0.011578	0.027825	0.6773	689	protests × post-2020
A_hazard	hazard_interaction	adopted_this_year	pct_hispanic	-0.031264	0.016596	0.0596	689	protests × post-2020
B_event_study	raw_means	mean_police_protests	rt=-4	1.791667	0.0	0.0	24	descriptive mean by relative time
B_event_study	raw_means	mean_all_protests	rt=-4	15.5	0.0	0.0	24	descriptive mean by relative time
B_event_study	raw_means	mean_msa_police_protests	rt=-4	27.458333	0.0	0.0	24	descriptive mean by relative time
B_event_study	raw_means	mean_police_protests	rt=-3	2.939394	0.0	0.0	33	descriptive mean by relative time
B_event_study	raw_means	mean_all_protests	rt=-3	21.909091	0.0	0.0	33	descriptive mean by relative time
B_event_study	raw_means	mean_msa_police_protests	rt=-3	30.727273	0.0	0.0	33	descriptive mean by relative time
B_event_study	raw_means	mean_police_protests	rt=-2	7.529412	0.0	0.0	34	descriptive mean by relative time
B_event_study	raw_means	mean_all_protests	rt=-2	28.764706	0.0	0.0	34	descriptive mean by relative time
B_event_study	raw_means	mean_msa_police_protests	rt=-2	41.911765	0.0	0.0	34	descriptive mean by relative time
B_event_study	raw_means	mean_police_protests	rt=-1	16.588235	0.0	0.0	34	descriptive mean by relative time
B_event_study	raw_means	mean_all_protests	rt=-1	37.558824	0.0	0.0	34	descriptive mean by relative time
B_event_study	raw_means	mean_msa_police_protests	rt=-1	80.823529	0.0	0.0	34	descriptive mean by relative time
B_event_study	raw_means	mean_police_protests	rt=0	10.387097	0.0	0.0	31	descriptive mean by relative time
B_event_study	raw_means	mean_all_protests	rt=0	40.580645	0.0	0.0	31	descriptive mean by relative time
B_event_study	raw_means	mean_msa_police_protests	rt=0	115.16129	0.0	0.0	31	descriptive mean by relative time
B_event_study	raw_means	mean_police_protests	rt=1	9.0	0.0	0.0	14	descriptive mean by relative time
B_event_study	raw_means	mean_all_protests	rt=1	52.5	0.0	0.0	14	descriptive mean by relative time
B_event_study	raw_means	mean_msa_police_protests	rt=1	32.142857	0.0	0.0	14	descriptive mean by relative time
B_event_study	raw_means	mean_police_protests	rt=2	8.615385	0.0	0.0	13	descriptive mean by relative time
B_event_study	raw_means	mean_all_protests	rt=2	49.615385	0.0	0.0	13	descriptive mean by relative time
B_event_study	raw_means	mean_msa_police_protests	rt=2	72.692308	0.0	0.0	13	descriptive mean by relative time
B_event_study	raw_means	mean_police_protests	rt=3	39.727273	0.0	0.0	11	descriptive mean by relative time
B_event_study	raw_means	mean_all_protests	rt=3	93.181818	0.0	0.0	11	descriptive mean by relative time
B_event_study	raw_means	mean_msa_police_protests	rt=3	70.818182	0.0	0.0	11	descriptive mean by relative time
B_event_study	raw_means	mean_police_protests	rt=4	12.181818	0.0	0.0	11	descriptive mean by relative time
B_event_study	raw_means	mean_all_protests	rt=4	49.909091	0.0	0.0	11	descriptive mean by relative time
B_event_study	raw_means	mean_msa_police_protests	rt=4	154.818182	0.0	0.0	11	descriptive mean by relative time
B_event_study	FE_regression	police_protests	rt_-4	-3.509972	4.024453	0.3831	1690	city-demeaned, year FE, cluster city
B_event_study	FE_regression	police_protests	rt_-3	-2.057661	2.988545	0.4911	1690	city-demeaned, year FE, cluster city
B_event_study	FE_regression	police_protests	rt_-2	1.305188	1.298693	0.3149	1690	city-demeaned, year FE, cluster city
B_event_study	FE_regression	police_protests	rt_0	-4.707725	3.696186	0.2028	1690	city-demeaned, year FE, cluster city
B_event_study	FE_regression	police_protests	rt_1	-6.274482	5.087041	0.2174	1690	city-demeaned, year FE, cluster city
B_event_study	FE_regression	police_protests	rt_2	-7.610723	5.550357	0.1703	1690	city-demeaned, year FE, cluster city
B_event_study	FE_regression	police_protests	rt_3	21.714182	15.40276	0.1586	1690	city-demeaned, year FE, cluster city
B_event_study	FE_regression	police_protests	rt_4	1.853813	2.20167	0.3998	1690	city-demeaned, year FE, cluster city
