panel	model	model_type	variable	coef	se	p_value	significance	n_obs	n_adopt
A. Cross-Section	Demographics Only	LOGIT	log_pop	1.338848	0.257587	0.0	***	258	53
A. Cross-Section	Demographics Only	LOGIT	pct_black	1.530948	1.183951	0.196		258	53
A. Cross-Section	Demographics Only	LOGIT	pct_hispanic	-2.912534	1.340931	0.0299	**	258	53
A. Cross-Section	Demographics Only	LOGIT	south	-0.790645	0.405415	0.0512	*	258	53
A. Cross-Section	Demographics + Crime	LOGIT	log_pop	1.739175	0.341147	0.0	***	205	42
A. Cross-Section	Demographics + Crime	LOGIT	pct_black	0.31655	2.781546	0.9094		205	42
A. Cross-Section	Demographics + Crime	LOGIT	pct_hispanic	-4.453325	1.907623	0.0196	**	205	42
A. Cross-Section	Demographics + Crime	LOGIT	south	-0.831222	0.507357	0.1014		205	42
A. Cross-Section	Demographics + Crime	LOGIT	violent_crime_pc	6.3e-05	3.8e-05	0.1008		205	42
A. Cross-Section	Demographics + Crime	LOGIT	drug_arrests_pc	2e-06	4.1e-05	0.9562		205	42
A. Cross-Section	Demographics + Crime	LOGIT	killings_pc	-0.005812	0.053971	0.9142		205	42
A. Cross-Section	Demographics + Crime	LOGIT	black_arrest_disparity	0.58761	2.034233	0.7727		205	42
A. Cross-Section	Demographics + Politics	LOGIT	log_pop	1.113019	0.27941	0.0001	***	193	47
A. Cross-Section	Demographics + Politics	LOGIT	pct_black	0.657439	2.6156	0.8015		193	47
A. Cross-Section	Demographics + Politics	LOGIT	pct_hispanic	-2.746715	1.427684	0.0544	*	193	47
A. Cross-Section	Demographics + Politics	LOGIT	south	-0.640344	0.486834	0.1884		193	47
A. Cross-Section	Demographics + Politics	LOGIT	dem_power	-1.335096	1.806439	0.4599		193	47
A. Cross-Section	Demographics + Politics	LOGIT	council_pct_dem	0.124231	1.013167	0.9024		193	47
A. Cross-Section	Demographics + Politics	LOGIT	council_pct_black	-0.567135	1.974085	0.7739		193	47
A. Cross-Section	Demographics + Politics	LOGIT	mayor_dem	2.026855	1.976258	0.3051		193	47
A. Cross-Section	Demographics + Politics	LOGIT	mayor_black	0.737589	0.941346	0.4333		193	47
A. Cross-Section	Full Model	LOGIT	log_pop	1.47941	0.384137	0.0001	***	155	38
A. Cross-Section	Full Model	LOGIT	pct_black	1.276169	3.882554	0.7424		155	38
A. Cross-Section	Full Model	LOGIT	pct_hispanic	-4.186849	1.981632	0.0346	**	155	38
A. Cross-Section	Full Model	LOGIT	south	-0.691848	0.600284	0.2491		155	38
A. Cross-Section	Full Model	LOGIT	violent_crime_pc	4.8e-05	4.8e-05	0.3215		155	38
A. Cross-Section	Full Model	LOGIT	drug_arrests_pc	1.7e-05	6.1e-05	0.7789		155	38
A. Cross-Section	Full Model	LOGIT	killings_pc	-0.006639	0.054371	0.9028		155	38
A. Cross-Section	Full Model	LOGIT	black_arrest_disparity	-1.085342	2.237793	0.6277		155	38
A. Cross-Section	Full Model	LOGIT	dem_power	-0.052713	2.304307	0.9817		155	38
A. Cross-Section	Full Model	LOGIT	council_pct_dem	-0.29054	1.144423	0.7996		155	38
A. Cross-Section	Full Model	LOGIT	council_pct_black	-0.557942	2.537304	0.826		155	38
A. Cross-Section	Full Model	LOGIT	mayor_dem	1.105337	2.442373	0.6509		155	38
A. Cross-Section	Full Model	LOGIT	mayor_black	1.053915	1.125358	0.349		155	38
A. Cross-Section	Full Model (LPM)	LPM	log_pop	0.16293	0.050713	0.0013	***	155	38
A. Cross-Section	Full Model (LPM)	LPM	pct_black	0.228447	0.760563	0.7639		155	38
A. Cross-Section	Full Model (LPM)	LPM	pct_hispanic	-0.359501	0.201695	0.0747	*	155	38
A. Cross-Section	Full Model (LPM)	LPM	south	-0.072655	0.090073	0.4199		155	38
A. Cross-Section	Full Model (LPM)	LPM	violent_crime_pc	4e-06	4e-06	0.3591		155	38
A. Cross-Section	Full Model (LPM)	LPM	drug_arrests_pc	2e-06	6e-06	0.7113		155	38
A. Cross-Section	Full Model (LPM)	LPM	killings_pc	0.002528	0.003908	0.5177		155	38
A. Cross-Section	Full Model (LPM)	LPM	black_arrest_disparity	-0.069942	0.426556	0.8698		155	38
A. Cross-Section	Full Model (LPM)	LPM	dem_power	0.026394	0.317588	0.9338		155	38
A. Cross-Section	Full Model (LPM)	LPM	council_pct_dem	-0.017074	0.181284	0.925		155	38
A. Cross-Section	Full Model (LPM)	LPM	council_pct_black	-0.261776	0.388705	0.5007		155	38
A. Cross-Section	Full Model (LPM)	LPM	mayor_dem	0.123056	0.307002	0.6885		155	38
A. Cross-Section	Full Model (LPM)	LPM	mayor_black	0.220837	0.194787	0.2569		155	38
B. Panel Hazard	Demographics Only	LPM+YearFE	log_pop	0.003802	0.000787	0.0	***	5134	38
B. Panel Hazard	Demographics Only	LPM+YearFE	pct_black	0.011404	0.008562	0.1829		5134	38
B. Panel Hazard	Demographics Only	LPM+YearFE	pct_hispanic	-0.003833	0.004958	0.4395		5134	38
B. Panel Hazard	Demographics Only	LPM+YearFE	south	-0.005533	0.002535	0.0291	**	5134	38
