part	model	model_type	variable	coef	se	p_value	significance	n_obs	n_y1	sample	outcome	treatment_var
A	Demographics + Crime	Logit	log_pop	0.650185	0.421081	0.1226		67	18			
A	Demographics + Crime	Logit	pct_black	9.07069	4.384777	0.0386	**	67	18			
A	Demographics + Crime	Logit	pct_hispanic	0.149045	3.363783	0.9647		67	18			
A	Demographics + Crime	Logit	south	-1.425738	0.851838	0.0942	*	67	18			
A	Demographics + Crime	Logit	violent_crime_pc	-6e-06	3.6e-05	0.8572		67	18			
A	Demographics + Crime	Logit	drug_arrests_pc	1.5e-05	4.4e-05	0.7265		67	18			
A	Demographics + Crime	Logit	police_killings_pc	-0.31883	0.854635	0.7091		67	18			
A	Demographics + Crime	Logit	black_share_violent_arrests	-4.261461	3.252967	0.1902		67	18			
A	Demographics + Politics	Logit	log_pop	0.548891	0.476219	0.2491		53	15			
A	Demographics + Politics	Logit	pct_black	-0.398164	6.562311	0.9516		53	15			
A	Demographics + Politics	Logit	pct_hispanic	3.159899	3.721561	0.3958		53	15			
A	Demographics + Politics	Logit	south	-1.222697	1.07767	0.2566		53	15			
A	Demographics + Politics	Logit	dem_power	-3.192506	2.379555	0.1797		53	15			
A	Demographics + Politics	Logit	council_pct_dem	3.868666	2.577967	0.1334		53	15			
A	Demographics + Politics	Logit	council_pct_black	0.039987	5.2307	0.9939		53	15			
A	Demographics + Politics	Logit	mayor_dem	0.866377	2.331257	0.7102		53	15			
A	Demographics + Politics	Logit	mayor_black	2.438876	2.075963	0.2401		53	15			
A	Full Model	Logit	log_pop	0.659231	0.656087	0.315		50	14			
A	Full Model	Logit	pct_black	6.844514	10.436396	0.5119		50	14			
A	Full Model	Logit	pct_hispanic	3.264369	4.674074	0.4849		50	14			
A	Full Model	Logit	south	-0.237926	1.407309	0.8657		50	14			
A	Full Model	Logit	violent_crime_pc	0.000116	7.2e-05	0.1063		50	14			
A	Full Model	Logit	police_killings_pc	-0.479815	0.40048	0.2309		50	14			
A	Full Model	Logit	black_share_violent_arrests	-10.392821	5.747764	0.0706	*	50	14			
A	Full Model	Logit	dem_power	1.422136	4.482367	0.751		50	14			
