model	sample	outcome	treatment_var	beta	se	t_stat	p_value	ci_lower	ci_upper	significance	n_obs	n_candidates	n_treated_obs	candidate_fe	year_fe
COA Created During Term	All Incumbents	vote_share	coa_created_during_term	-0.01165	0.019435	-0.599	0.5489	-0.049743	0.026443		8650	3140	324	Yes	Yes
Post-COA	All Incumbents	vote_share	post_coa	-0.025505	0.027804	-0.917	0.359	-0.080002	0.028991		8650	3140	1940	Yes	Yes
COA Created During Term	All Incumbents	win	coa_created_during_term	-0.035527	0.025799	-1.377	0.1686	-0.086093	0.01504		8650	3140	324	Yes	Yes
Post-COA	All Incumbents	win	post_coa	-0.013936	0.04008	-0.348	0.7281	-0.092492	0.06462		8650	3140	1940	Yes	Yes
COA Created During Term	City Council	vote_share	coa_created_during_term	-0.008723	0.021129	-0.413	0.6798	-0.050136	0.03269		7001	2640	286	Yes	Yes
Post-COA	City Council	vote_share	post_coa	-0.028644	0.029444	-0.973	0.3307	-0.086355	0.029066		7001	2640	1742	Yes	Yes
COA Created During Term	City Council	win	coa_created_during_term	-0.02709	0.026571	-1.02	0.308	-0.07917	0.024989		7001	2640	286	Yes	Yes
Post-COA	City Council	win	post_coa	-0.017123	0.044629	-0.384	0.7012	-0.104595	0.07035		7001	2640	1742	Yes	Yes
COA Created During Term	Mayor	vote_share	coa_created_during_term	-0.032974	0.043033	-0.766	0.4437	-0.117318	0.051371		1649	696	38	Yes	Yes
Post-COA	Mayor	vote_share	post_coa	-0.010315	0.061016	-0.169	0.8658	-0.129907	0.109277		1649	696	198	Yes	Yes
COA Created During Term	Mayor	win	coa_created_during_term	-0.001845	0.066792	-0.028	0.978	-0.132757	0.129067		1649	696	38	Yes	Yes
Post-COA	Mayor	win	post_coa	0.079781	0.105908	0.753	0.4515	-0.127798	0.28736		1649	696	198	Yes	Yes
COA Created During Term	Race: Black	vote_share	coa_created_during_term	0.047439	0.031805	1.492	0.1362	-0.014899	0.109777		1450	529	92	Yes	Yes
Post-COA	Race: Black	vote_share	post_coa	0.019986	0.031646	0.632	0.5278	-0.04204	0.082012		1450	529	549	Yes	Yes
COA Created During Term	Race: Black	win	coa_created_during_term	0.067797	0.041419	1.637	0.102	-0.013384	0.148978		1450	529	92	Yes	Yes
Post-COA	Race: Black	win	post_coa	0.124623	0.059852	2.082	0.0376	0.007313	0.241934	**	1450	529	549	Yes	Yes
COA Created During Term	Race: Hispanic	vote_share	coa_created_during_term	-0.011612	0.051108	-0.227	0.8204	-0.111783	0.08856		721	280	31	Yes	Yes
Post-COA	Race: Hispanic	vote_share	post_coa	-0.034688	0.06579	-0.527	0.5983	-0.163637	0.094261		721	280	161	Yes	Yes
COA Created During Term	Race: Hispanic	win	coa_created_during_term	-0.07898	0.065989	-1.197	0.232	-0.208318	0.050358		721	280	31	Yes	Yes
Post-COA	Race: Hispanic	win	post_coa	0.001365	0.086999	0.016	0.9875	-0.169153	0.171884		721	280	161	Yes	Yes
COA Created During Term	Race: White	vote_share	coa_created_during_term	-0.037785	0.022693	-1.665	0.096	-0.082264	0.006693	*	6310	2267	195	Yes	Yes
Post-COA	Race: White	vote_share	post_coa	-0.043638	0.041004	-1.064	0.2873	-0.124005	0.036729		6310	2267	1201	Yes	Yes
COA Created During Term	Race: White	win	coa_created_during_term	-0.081214	0.033732	-2.408	0.0161	-0.147329	-0.015099	**	6310	2267	195	Yes	Yes
Post-COA	Race: White	win	post_coa	-0.075958	0.053027	-1.432	0.1521	-0.17989	0.027974		6310	2267	1201	Yes	Yes
COA Created During Term	Race: Non-White	vote_share	coa_created_during_term	0.027244	0.02721	1.001	0.3169	-0.026088	0.080576		2338	872	129	Yes	Yes
Post-COA	Race: Non-White	vote_share	post_coa	-0.001657	0.027471	-0.06	0.9519	-0.055499	0.052186		2338	872	739	Yes	Yes
COA Created During Term	Race: Non-White	win	coa_created_during_term	0.03467	0.035363	0.98	0.327	-0.03464	0.103981		2338	872	129	Yes	Yes
Post-COA	Race: Non-White	win	post_coa	0.074611	0.050761	1.47	0.1418	-0.024881	0.174103		2338	872	739	Yes	Yes
COA Created During Term	Party: Democrat	vote_share	coa_created_during_term	-0.012638	0.020623	-0.613	0.54	-0.053058	0.027782		5666	2012	250	Yes	Yes
Post-COA	Party: Democrat	vote_share	post_coa	-0.022979	0.027257	-0.843	0.3993	-0.076403	0.030445		5666	2012	1525	Yes	Yes
COA Created During Term	Party: Democrat	win	coa_created_during_term	-0.024183	0.026054	-0.928	0.3534	-0.075248	0.026883		5666	2012	250	Yes	Yes
Post-COA	Party: Democrat	win	post_coa	0.000448	0.037705	0.012	0.9905	-0.073454	0.07435		5666	2012	1525	Yes	Yes
COA Created During Term	Party: Republican	vote_share	coa_created_during_term	-0.006036	0.049809	-0.121	0.9036	-0.103661	0.091589		2493	936	64	Yes	Yes
Post-COA	Party: Republican	vote_share	post_coa	-0.040226	0.099425	-0.405	0.6858	-0.2351	0.154647		2493	936	354	Yes	Yes
COA Created During Term	Party: Republican	win	coa_created_during_term	-0.048412	0.062682	-0.772	0.44	-0.171268	0.074445		2493	936	64	Yes	Yes
Post-COA	Party: Republican	win	post_coa	-0.042889	0.131336	-0.327	0.744	-0.300307	0.21453		2493	936	354	Yes	Yes
