ORI,City #,Name,State,Population,STATE_ABB,oversight-board (y/n),oversight-powers ,oversight-charter-found (y/n),Link,Year created,Independently Investigate (y/n) ,Independently Discipline Officers (y/n),Created Via Election,Selection Method of Board Members 
,1,New York city,New York,8622467,NY,Y,"--Investigate, subpoena, ",Y,https://www.nyc.gov/site/ccrb/about/history.page,1993,Y,Y,N,Appointed
,2,Los Angeles city,California,3881041,CA,Y,"- make recommendations
- investigate
- reiview policy recommendations
- monitor settlement (only at the request of the Board of Supervisors and/or the Sheriff, serve, either collectively or through one or more of its members, as the monitor of the implementation of settlement provisions in litigated matters)",Y,https://coc.lacounty.gov/,1995,Y,,Y,Appointed
,3,Chicago city,Illinois,2721914,IL,Y,"-- On October 5, 2016, the Chicago City Council passed an ordinance to establish the COPA, which replaced the Independent Police Review Authority as the civilian oversight agency of the Chicago Police Department",Y,https://www.chicagocopa.org/about-copa/ordinance/,2017,Y,Y,N,Elect 
,4,Houston city,Texas,2296253,TX,Y,"- review internal investigations
- recommend, in writing, to the Chief of Police on every case it reviews, whether or not training and/or policy revisions are appropriate",Y,https://www.houstontx.gov/boards/ipob.html,2011,N,N,N,Appointed
,5,Phoenix city,Arizona,1609456,AZ,N,,,,,,,,
,6,Philadelphia city,Pennsylvania,1593208,PA,Y,"(1)   The Commission shall receive, register and initially evaluate all complaints made against members of the Department, whether made by citizens, employees of the Department or other government employees.
   (2)   The Commission shall conduct investigations into such complaints as it determines in its discretion, except as provided in subsection (3) below.
   (3)   The Commission shall not investigate:
      (a)   Complaints involving violations of the City’s internal EEO policies, including claims of harassment, intimidation, retaliation or abuse of City employees or applicants for City employment because of race, ethnicity, color, sex, sexual orientation, gender identity, religion, national origin, ancestry, age, disability, marital status, source of income, familial status, genetic information, domestic or sexual violence victim status, or other legally protected status. In all instances such complaints shall be referred to the Employee Relations Unit of the Department of Labor.  47.3
      (b)   Complaints of Department employees involving purely internal employment matters, such as assignment of overtime, work duty assignments, and other similar matters that do not concern allegations of abuse, corruption, intimidation, harassment or allegations of threat to the integrity of the criminal justice process.
   (4)   The Commission shall provide relevant information of complaints made to the Commission as follows:
      (a)   The Commission shall provide to the Department information concerning all complaints made against Department officers and employees and shall identify those complaints with respect to which the Commission intends to carry out an investigation.
      (b)   The Commission shall refer complaints concerning EEO matters addressed in subsection (3)(a) to the Department of Labor.
      (c)   The Commission shall share complaints with the District Attorney, Inspector General, the Board of Ethics and any other appropriate City or other law enforcement or governmental agency as it deems appropriate.
   (5)   The Commission shall develop cooperative agreements with the Department, the District Attorney, the Department of Labor, the Inspector General, and any other appropriate agency for the management of dual investigations and overlapping investigations in which a matter may fall within the purview of one or more such agencies, in addition to that of the Commission.
   (6)   Nothing in this Chapter shall preclude the Commission from receiving a referral or information from any federal, state or local law enforcement, or other governmental, agency. Nothing in this Chapter shall preclude the Commission from investigating matters within its purview concurrently with an active criminal investigation.
 

- recommend charges and discipline, concerning conduct of Police officers, without regard to whether a specific complaint of misconduct has been made, and policy
- have access to crime scenes and the same access as the Department to investigative materials, including the right to be present at all interviews with witnesses and Department officers
- issue and enforce subpoenas and compel the attendance of witnesses or the production of documents and other evidence in support of any investigation",Y,https://www.phila.gov/departments/citizens-police-oversight-commission/,1993,Y,N,N,Appointed
,7,San Antonio city,Texas,1445662,TX,N,,,https://cosatx.us/government/city-boards-commissions,,,,,
,8,San Diego city,California,1383987,CA,Y,"The Commission on Police Practices (CPP) is an independent community oversight body of the San Diego Police Department (SDPD). The CPP has investigatory, review, and auditing powers, including the power to make factual determinations about matters that are investigated and to make advisory recommendations regarding the actions of police officers and the procedures, policies, and practices of the Police Department. 


Purpose
What is the purpose of the Commission on Police Practices (CPP)?
Provide an independent investigation of officer-involved shootings and in-custody deaths
Provide an unbiased evaluation of all complaints against the San Diego Police Department and its personnel
Conduct investigations and evaluations in processes that are transparent and accountable to the community
Evaluate and review SDPD policies, practices, training, and protocols and represent the community in making recommendations for changes
- review and make recommendations on policies and procedures 
- annually inspect County adult detention facilities and annually file a report of such visitations together with pertinent recommendations with the Board of Supervisors",Y,https://www.sandiegocounty.gov/clerb/,1991,Y,N,N (but 2020 vote to streengthen!),Appointed
,9,Dallas city,Texas,1300642,TX,Y,"- REFORMED 2019 The Dallas City Code, Section 37-32 governs the functions, limitations, and powers of the Citizen Police Review Board: • Accept signed written complaints from citizens on police procedures, treatment of citizens, abuse, harassment, violation of civil rights, injury, or fatality • Suggest further investigation by DPD • Conduct further investigation (without investigators) • Contract with an independent investigator to assist and advise the board • Take sworn testimony • Request the city manager to review disciplinary action • Recommend DPD practice and procedural improvements",Y,https://dallascityhall.com/government/Council%20Meeting%20Documents/pscj_2_citizen-police-review-board_combined_021119.pdf,1987,Y,N,N,Appointed
,10,San Jose city,California,1001176,CA,Y,"The Independent Police Auditor shall have the following powers and duties:

(a) Review Police Department investigations of complaints against police officers to determine if the investigation was complete, thorough, objective and fair.

(b) Make recommendations with regard to Police Department policies and procedures based on the Independent Police Auditor’s review of investigations of complaints against police officers.

(c) Conduct public outreach to educate the community on the role of the Independent Police Auditor and to assist the community with the process and procedures for investigation of complaints against police officers.

",N,https://www.sjpd.org/about-us/organization/office-of-the-chief-of-police/community-advisory-board,1993,N,N,N,Appointed
,11,Austin city,Texas,958202,TX,Y,"-  2002, 2018, 2020 reforms review any investigation of death in custody, serious bodily injury, or other serious misconduct after the completion of any investigation and prior to the issuance ofdiscipline, and/or in response to the request for review by a complainant;
- recommend to the Police Chief discipline that should be issued in the cases it reviews
- advise the Police Chief, the Director ofthe Office of Police Oversight, the City Manager, and the City Council on the effectiveness and appropriateness ofthe department's policies and procedures concerning complaints of police officer misconduct, police officer training, use offorce by police officers, community relations, and any other activities ofthe department
- have direct access to all necessary records of the department",Y,https://www.austintexas.gov/community-police-review-commission https://www.texasobserver.org/austin-office-police-oversight/ ,2002,N,N,Y (Reformed in 2020),
,12,Jacksonville city,Florida,950203,FL,N,,,https://lci.fsu.edu//wp-content/uploads/sites/28/2022/08/FINAL-Improving-Police-Community-Relations_-The-Role-of-Civilian-Oversight-Agencies-COA-in-Florida.pdf,,,,,
,13,Fort Worth city,Texas,924663,TX,N,,,https://www.nbcdfw.com/news/local/proposed-fort-worth-board-aims-to-include-community-voice-on-policing/3189000/,,,,,
,14,Columbus city,Ohio,902449,OH,N,,,,,,,,
,15,Indianapolis city,Indiana,882006,IN,N,,,,,,,,
,16,Charlotte city,North Carolina,875045,NC,Y,"- hears appeals of dispositions of complaints, complaints alleging excessive form, complaints of improper search/seizure, profiling, and appeals of OIS incidents resulting in death/injury",N,https://www.charlottenc.gov/City-Government/Initiatives-and-Involvement/Citizens-Review-Board,1997,N,N,N,
,17,San Francisco city,California,851036,CA,Y,"- REFORMED 2016informing the SFPD of community concerns
- advise the District Captain on public safety, crime, and quality-of-life issues impacting the district
",Y,https://www.sanfranciscopolice.org/community/stations-meetings/community-police-advisory-boards-cpabs,1982,Y,N,N,
,18,Seattle city,Washington,734603,WA,Y,"Core Functions
OPA's authority and responsibilities include:

Establishing and managing processes to initiate, receive, classify, and investigate individual allegations of SPD employee misconduct
Promoting public awareness of, full access to, and trust in the complaint investigation process
Identifying SPD system improvement needs and recommending effective solutions
Helping reduce misconduct and enhancing employee conduct

Independence
OPA is physically and operationally outside of SPD but within it administratively. This ensures complete and immediate access to all SPD-controlled data, evidence, and personnel necessary for thorough and timely complaint handling.",,https://www.wethepeoplepower.org/civilian-oversight,2017,,,N (Consent Decree),
,19,Denver city,Colorado,710800,CO,Y,- make policy-level recommendations; advisory,Y,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Citizen-Oversight-Board/About-Us,2004,N,N,,
