geoName	geoCode	term	interest
Abilene-Sweetwater TX	662	police brutality	41
Albany GA	525	police brutality	73
Albany-Schenectady-Troy NY	532	police brutality	58
Albuquerque-Santa Fe NM	790	police brutality	49
Alexandria LA	644	police brutality	48
Alpena MI	583	police brutality	63
Amarillo TX	634	police brutality	47
Anchorage AK	743	police brutality	42
Atlanta GA	524	police brutality	60
Augusta GA	520	police brutality	61
Austin TX	635	police brutality	61
Bakersfield CA	800	police brutality	65
Baltimore MD	512	police brutality	82
Bangor ME	537	police brutality	48
Baton Rouge LA	716	police brutality	65
Beaumont-Port Arthur TX	692	police brutality	49
Bend OR	821	police brutality	51
Billings, MT	756	police brutality	35
Biloxi-Gulfport MS	746	police brutality	46
Binghamton NY	502	police brutality	71
Birmingham AL	630	police brutality	48
Bluefield-Beckley-Oak Hill WV	559	police brutality	45
Boise ID	757	police brutality	46
Boston MA-Manchester NH	506	police brutality	67
Bowling Green KY	736	police brutality	49
Buffalo NY	514	police brutality	69
Burlington VT-Plattsburgh NY	523	police brutality	64
Butte-Bozeman MT	754	police brutality	47
Casper-Riverton WY	767	police brutality	49
Cedar Rapids-Waterloo-Iowa City & Dubuque IA	637	police brutality	58
Champaign & Springfield-Decatur IL	648	police brutality	69
Charleston SC	519	police brutality	53
Charleston-Huntington WV	564	police brutality	44
Charlotte NC	517	police brutality	60
Charlottesville VA	584	police brutality	60
Chattanooga TN	575	police brutality	47
Cheyenne WY-Scottsbluff NE	759	police brutality	49
Chicago IL	602	police brutality	73
Chico-Redding CA	868	police brutality	61
Cincinnati OH	515	police brutality	48
Clarksburg-Weston WV	598	police brutality	57
Cleveland-Akron (Canton) OH	510	police brutality	54
Colorado Springs-Pueblo CO	752	police brutality	59
Columbia SC	546	police brutality	74
Columbia-Jefferson City MO	604	police brutality	66
Columbus GA	522	police brutality	71
Columbus OH	535	police brutality	60
Columbus-Tupelo-West Point MS	673	police brutality	42
Corpus Christi TX	600	police brutality	52
Dallas-Ft. Worth TX	623	police brutality	55
Davenport IA-Rock Island-Moline IL	682	police brutality	53
Dayton OH	542	police brutality	57
Denver CO	751	police brutality	66
Des Moines-Ames IA	679	police brutality	53
Detroit MI	505	police brutality	67
Dothan AL	606	police brutality	50
Duluth MN-Superior WI	676	police brutality	51
El Paso TX	765	police brutality	63
Elmira NY	565	police brutality	67
Erie PA	516	police brutality	56
Eugene OR	801	police brutality	62
Eureka CA	802	police brutality	74
Evansville IN	649	police brutality	48
Fairbanks AK	745	police brutality	48
Fargo-Valley City ND	724	police brutality	52
Flint-Saginaw-Bay City MI	513	police brutality	58
Florence-Myrtle Beach SC	570	police brutality	58
Fresno-Visalia CA	866	police brutality	67
Ft. Myers-Naples FL	571	police brutality	40
Ft. Smith-Fayetteville-Springdale-Rogers AR	670	police brutality	54
Ft. Wayne IN	509	police brutality	54
Gainesville FL	592	police brutality	66
Glendive MT	798	police brutality	0
Grand Junction-Montrose CO	773	police brutality	57
Grand Rapids-Kalamazoo-Battle Creek MI	563	police brutality	56
Great Falls MT	755	police brutality	35
Green Bay-Appleton WI	658	police brutality	52
Greensboro-High Point-Winston Salem NC	518	police brutality	66
Greenville-New Bern-Washington NC	545	police brutality	62
Greenville-Spartanburg SC-Asheville NC-Anderson SC	567	police brutality	46
Greenwood-Greenville MS	647	police brutality	79
Harlingen-Weslaco-Brownsville-McAllen TX	636	police brutality	47
Harrisburg-Lancaster-Lebanon-York PA	566	police brutality	48
Harrisonburg VA	569	police brutality	71
Hartford & New Haven CT	533	police brutality	78
Hattiesburg-Laurel MS	710	police brutality	67
Helena MT	766	police brutality	36
Honolulu HI	744	police brutality	54
Houston TX	618	police brutality	55
Huntsville-Decatur (Florence) AL	691	police brutality	44
Idaho Falls-Pocatello ID	758	police brutality	51
Indianapolis IN	527	police brutality	61
Jackson MS	718	police brutality	74
Jackson TN	639	police brutality	52
Jacksonville FL	561	police brutality	45
Johnstown-Altoona PA	574	police brutality	56
Jonesboro AR	734	police brutality	62
Joplin MO-Pittsburg KS	603	police brutality	52
Juneau AK	747	police brutality	49
Kansas City MO	616	police brutality	58
Knoxville TN	557	police brutality	39
La Crosse-Eau Claire WI	702	police brutality	53
Lafayette IN	582	police brutality	65
Lafayette LA	642	police brutality	55
Lake Charles LA	643	police brutality	49
Lansing MI	551	police brutality	62
Laredo TX	749	police brutality	47
Las Vegas NV	839	police brutality	54
Lexington KY	541	police brutality	50
Lima OH	558	police brutality	50
Lincoln & Hastings-Kearney NE	722	police brutality	60
Little Rock-Pine Bluff AR	693	police brutality	57
Los Angeles CA	803	police brutality	75
Louisville KY	529	police brutality	52
Lubbock TX	651	police brutality	42
Macon GA	503	police brutality	61
Madison WI	669	police brutality	55
Mankato MN	737	police brutality	53
Marquette MI	553	police brutality	53
Medford-Klamath Falls OR	813	police brutality	51
Memphis TN	640	police brutality	63
Meridian MS	711	police brutality	72
Miami-Ft. Lauderdale FL	528	police brutality	53
Milwaukee WI	617	police brutality	62
Minneapolis-St. Paul MN	613	police brutality	64
Minot-Bismarck-Dickinson(Williston) ND	687	police brutality	36
Missoula MT	762	police brutality	41
Mobile AL-Pensacola (Ft. Walton Beach) FL	686	police brutality	44
Monroe LA-El Dorado AR	628	police brutality	68
Monterey-Salinas CA	828	police brutality	100
Montgomery (Selma) AL	698	police brutality	74
Nashville TN	659	police brutality	54
New Orleans LA	622	police brutality	51
New York NY	501	police brutality	78
